,name,related_to
1637,Market basket analysis,Association rule learning
1638,Conditional probability,Association rule learning
1639,Learning classifier system,Association rule learning
1640,Bioinformatics,Association rule learning
1641,Breadth-first search,Association rule learning
1642,Clustering high-dimensional data,Association rule learning
1643,Depth-first search,Association rule learning
1644,Trie,Association rule learning
1645,Bitstring,Association rule learning
1646,Association rule learning,
1647,Informedness,Precision and recall
1648,Markedness,Precision and recall
1649,Statistics,Precision and recall
1650,Type I and type II errors,Precision and recall
1651,Accuracy,Precision and recall
1652,Bayes' theorem,Precision and recall
1653,F-score,Precision and recall
1654,Null hypothesis,Precision and recall
1655,Information retrieval,Precision and recall
1656,Sensitivity and specificity,Precision and recall
1657,Positive and negative predictive values,Precision and recall
1658,Uncertainty coefficient,Precision and recall
1659,Receiver operating characteristic,Precision and recall
1660,Confusion matrix,Precision and recall
1661,Statistical classification,Precision and recall
1662,Object detection,Precision and recall
1663,Relevance (information retrieval),Precision and recall
1664,Linear regression,Precision and recall
1665,Contingency table,Precision and recall
1666,Pattern recognition,Precision and recall
1667,Precision and recall,
1668,Case-control study,Positive and negative predictive values
1669,Information retrieval,Positive and negative predictive values
1670,Bayes' theorem,Positive and negative predictive values
1671,Gold standard (test),Positive and negative predictive values
1672,Precision and recall,Positive and negative predictive values
1673,Prevalence,Positive and negative predictive values
1674,Diagnostic test,Positive and negative predictive values
1675,Sensitivity index,Positive and negative predictive values
1676,Fecal occult blood,Positive and negative predictive values
1677,Likelihood ratios in diagnostic testing,Positive and negative predictive values
1678,Cross-sectional study,Positive and negative predictive values
1679,False discovery rate,Positive and negative predictive values
1680,Relevance (information retrieval),Positive and negative predictive values
1681,Pre- and post-test probability,Positive and negative predictive values
1682,Receiver operating characteristic,Positive and negative predictive values
1683,False negative,Positive and negative predictive values
1684,Binary classification,Positive and negative predictive values
1685,Diagnostic odds ratio,Positive and negative predictive values
1686,Predictive value of tests,Positive and negative predictive values
1687,Sensitivity and specificity,Positive and negative predictive values
1688,Positive and negative predictive values,
1689,P-value,Statistical significance
1690,Likelihood function,Statistical significance
1691,Sample size determination,Statistical significance
1692,Null hypothesis,Statistical significance
1693,Fisher's method,Statistical significance
1694,Alternative hypothesis,Statistical significance
1695,Data dredging,Statistical significance
1696,Statistical hypothesis testing,Statistical significance
1697,Multiple comparisons problem,Statistical significance
1698,Clinical significance,Statistical significance
1699,Bayes factor,Statistical significance
1700,Effect size,Statistical significance
1701,Estimation statistics,Statistical significance
1702,R-squared,Statistical significance
1703,Bayesian statistics,Statistical significance
1704,Statistical power,Statistical significance
1705,One-tailed test,Statistical significance
1706,Statistical Methods for Research Workers,Statistical significance
1707,Type I and type II errors,Statistical significance
1708,Statistical population,Statistical significance
1709,Statistical significance,
1710,Statistical significance,Statistical hypothesis testing
1711,Statistics,Statistical hypothesis testing
1712,Chi squared test,Statistical hypothesis testing
1713,Nonparametric statistics,Statistical hypothesis testing
1714,Alternative hypothesis,Statistical hypothesis testing
1715,P-value,Statistical hypothesis testing
1716,Test statistic,Statistical hypothesis testing
1717,Estimation statistics,Statistical hypothesis testing
1718,Frequentist inference,Statistical hypothesis testing
1719,Fisher's method,Statistical hypothesis testing
1720,Statistical inference,Statistical hypothesis testing
1721,Exact test,Statistical hypothesis testing
1722,Almost sure hypothesis testing,Statistical hypothesis testing
1723,Fiducial inference,Statistical hypothesis testing
1724,Bayesian statistics,Statistical hypothesis testing
1725,Pearson's chi-squared test,Statistical hypothesis testing
1726,Null hypothesis,Statistical hypothesis testing
1727,Bayesian inference,Statistical hypothesis testing
1728,Statistical power,Statistical hypothesis testing
1729,Statistical population,Statistical hypothesis testing
1730,Statistical hypothesis testing,
1731,Recursion (computer science),Gene expression programming
1732,Linear genetic programming,Gene expression programming
1733,Expression tree,Gene expression programming
1734,Genetic programming,Gene expression programming
1735,Genetic operator,Gene expression programming
1736,Fitness function,Gene expression programming
1737,Multi expression programming,Gene expression programming
1738,Parse tree,Gene expression programming
1739,Decision tree,Gene expression programming
1740,Evolutionary algorithms,Gene expression programming
1741,Evolution strategies,Gene expression programming
1742,Combinatorial optimization,Gene expression programming
1743,Statistical classification,Gene expression programming
1744,Genetic algorithm,Gene expression programming
1745,Logistic regression,Gene expression programming
1746,Symbolic Regression,Gene expression programming
1747,Grammatical evolution,Gene expression programming
1748,Mutation (genetic algorithm),Gene expression programming
1749,Regression analysis,Gene expression programming
1750,Gene expression programming,
1751,Confidence band,Confidence interval
1752,Normal distribution,Confidence interval
1753,Credible interval,Confidence interval
1754,Uniform distribution (continuous),Confidence interval
1755,Pivotal quantity,Confidence interval
1756,Probability distribution,Confidence interval
1757,Margin of error,Confidence interval
1758,Prediction interval,Confidence interval
1759,Point estimate,Confidence interval
1760,Bayesian inference,Confidence interval
1761,Variance,Confidence interval
1762,Maximum likelihood estimation,Confidence interval
1763,Random variable,Confidence interval
1764,68–95–99.7 rule,Confidence interval
1765,Binomial proportion confidence interval,Confidence interval
1766,Frequentist inference,Confidence interval
1767,Neyman construction,Confidence interval
1768,Sample size determination,Confidence interval
1769,Method of moments (statistics),Confidence interval
1770,Coverage probability,Confidence interval
1771,Confidence interval,
1772,Bernstein–von Mises theorem,Posterior probability
1773,Interval estimation,Posterior probability
1774,Prediction interval,Posterior probability
1775,Bayes' theorem,Posterior probability
1776,Variational Bayesian methods,Posterior probability
1777,Credible interval,Posterior probability
1778,Maximum a posteriori estimation,Posterior probability
1779,Bayesian epistemology,Posterior probability
1780,Prior probability,Posterior probability
1781,Class membership probabilities,Posterior probability
1782,Bayesian statistics,Posterior probability
1783,Statistical parameter,Posterior probability
1784,Probability of success,Posterior probability
1785,Law of total probability,Posterior probability
1786,Likelihood function,Posterior probability
1787,Random variable,Posterior probability
1788,Bayesian inference,Posterior probability
1789,Normalizing constant,Posterior probability
1790,Conditional probability,Posterior probability
1791,Point estimate,Posterior probability
1792,Posterior probability,
1793,Logistic regression,Regression analysis
1794,F-test,Regression analysis
1795,Linear regression,Regression analysis
1796,Probit model,Regression analysis
1797,Stepwise regression,Regression analysis
1798,Ordered logit,Regression analysis
1799,Poisson regression,Regression analysis
1800,Statistical model,Regression analysis
1801,Bayesian linear regression,Regression analysis
1802,Least squares,Regression analysis
1803,Simple linear regression,Regression analysis
1804,Local regression,Regression analysis
1805,Regression validation,Regression analysis
1806,Prediction,Regression analysis
1807,Robust regression,Regression analysis
1808,Kriging,Regression analysis
1809,Quantile regression,Regression analysis
1810,Ordinary least squares,Regression analysis
1811,Nonparametric regression,Regression analysis
1812,R-squared,Regression analysis
1813,Regression analysis,
1814,Kurtosis,Statistical population
1815,Unbiased estimator,Statistical population
1816,Statistical inference,Statistical population
1817,Horvitz–Thompson estimator,Statistical population
1818,Overdispersion,Statistical population
1819,Stratified sampling,Statistical population
1820,Expected value,Statistical population
1821,Mixture model,Statistical population
1822,Sample mean,Statistical population
1823,Sampling fraction,Statistical population
1824,Cauchy distribution,Statistical population
1825,Statistics,Statistical population
1826,Sample (statistics),Statistical population
1827,Sample statistics,Statistical population
1828,Accuracy,Statistical population
1829,Estimation theory,Statistical population
1830,Central tendency,Statistical population
1831,Probability distribution,Statistical population
1832,Random variable,Statistical population
1833,Statistical parameter,Statistical population
1834,Statistical population,
1835,Normal distribution,Prior probability
1836,Conjugate prior,Prior probability
1837,Beta distribution,Prior probability
1838,Principle of maximum entropy,Prior probability
1839,Frequentist inference,Prior probability
1840,Uniform distribution (continuous),Prior probability
1841,Regularization (mathematics),Prior probability
1842,Bayes' theorem,Prior probability
1843,Hyperprior,Prior probability
1844,Likelihood function,Prior probability
1845,Bernstein–von Mises theorem,Prior probability
1846,Probability distribution,Prior probability
1847,Posterior probability,Prior probability
1848,Jeffreys prior,Prior probability
1849,Statistical inference,Prior probability
1850,Hyperparameter,Prior probability
1851,Bayesianism,Prior probability
1852,Marginal distribution,Prior probability
1853,Algorithmic probability,Prior probability
1854,Prior probability,
1855,Activation function,Artificial neural network
1856,Neural gas,Artificial neural network
1857,Spiking neural network,Artificial neural network
1858,Regularization (mathematics),Artificial neural network
1859,Large width limits of neural networks,Artificial neural network
1860,Neuroevolution,Artificial neural network
1861,Feedforward neural network,Artificial neural network
1862,Hybrid neural network,Artificial neural network
1863,List of machine learning concepts,Artificial neural network
1864,Convolutional neural network,Artificial neural network
1865,Biological neural network,Artificial neural network
1866,Vanishing gradient problem,Artificial neural network
1867,Unsupervised learning,Artificial neural network
1868,Supervised learning,Artificial neural network
1869,Neural network,Artificial neural network
1870,Neural network software,Artificial neural network
1871,Artificial neurons,Artificial neural network
1872,Extreme learning machine,Artificial neural network
1873,Deep learning,Artificial neural network
1874,Backpropagation,Artificial neural network
1875,Artificial neural network,
1876,Probability theory,Conditional probability distribution
1877,Statistical independence,Conditional probability distribution
1878,Random variable,Conditional probability distribution
1879,Joint probability distribution,Conditional probability distribution
1880,Marginal distribution,Conditional probability distribution
1881,Probability distribution,Conditional probability distribution
1882,Conditional probability,Conditional probability distribution
1883,Conditional variance,Conditional probability distribution
1884,Likelihood function,Conditional probability distribution
1885,Statistics,Conditional probability distribution
1886,Conditional probability table,Conditional probability distribution
1887,Conditioning (probability),Conditional probability distribution
1888,Bayes' theorem,Conditional probability distribution
1889,Categorical data,Conditional probability distribution
1890,Probability density function,Conditional probability distribution
1891,Probability measure,Conditional probability distribution
1892,Regular conditional probability,Conditional probability distribution
1893,Moment (mathematics),Conditional probability distribution
1894,Bivariate normal distribution,Conditional probability distribution
1895,Conditional expectation,Conditional probability distribution
1896,Conditional probability distribution,
1897,Radio noise,Radio receiver
1898,Carrier signal,Radio receiver
1899,Radio,Radio receiver
1900,Transmitter,Radio receiver
1901,Digital audio broadcasting,Radio receiver
1902,Single-sideband modulation,Radio receiver
1903,Demodulation,Radio receiver
1904,Frequency modulation,Radio receiver
1905,Digital signal,Radio receiver
1906,Digital signal processing,Radio receiver
1907,Radar,Radio receiver
1908,Modulation,Radio receiver
1909,Measuring receiver,Radio receiver
1910,Detector (radio),Radio receiver
1911,Amplitude modulation,Radio receiver
1912,Transceiver,Radio receiver
1913,Passband,Radio receiver
1914,Base station,Radio receiver
1915,Communications receiver,Radio receiver
1916,Radio receiver,
1917,Feature vector,Dependent and independent variables
1918,Covariance,Dependent and independent variables
1919,Statistics,Dependent and independent variables
1920,Regression analysis,Dependent and independent variables
1921,Linear regression,Dependent and independent variables
1922,Linear model,Dependent and independent variables
1923,Goodness of fit,Dependent and independent variables
1924,Multivariate statistics,Dependent and independent variables
1925,Experimental design,Dependent and independent variables
1926,Omitted variable bias,Dependent and independent variables
1927,Supervised learning,Dependent and independent variables
1928,Control variable,Dependent and independent variables
1929,Vector-valued functions,Dependent and independent variables
1930,Latent variable,Dependent and independent variables
1931,Statistical model,Dependent and independent variables
1932,Continuous or discrete variable,Dependent and independent variables
1933,Mathematical model,Dependent and independent variables
1934,Stochastic,Dependent and independent variables
1935,Categorical data,Dependent and independent variables
1936,Dependent and independent variables,
1937,Evolutionary robotics,Fitness function
1938,Figure of merit,Fitness function
1939,Genetic programming,Fitness function
1940,Co-evolution,Fitness function
1941,Interactive genetic algorithms,Fitness function
1942,Evolutionary Computation,Fitness function
1943,Genetic algorithm,Fitness function
1944,Fitness landscape,Fitness function
1945,Loss function,Fitness function
1946,Test functions for optimization,Fitness function
1947,PDF,Fitness function
1948,Fitness approximation,Fitness function
1949,Crossover (genetic algorithm),Fitness function
1950,Niche differentiation,Fitness function
1951,Chromosome (genetic algorithm),Fitness function
1952,Inferential programming,Fitness function
1953,Fitness function,
1954,P-value,Null hypothesis
1955,Bayes factor,Null hypothesis
1956,Model selection,Null hypothesis
1957,Statistical significance,Null hypothesis
1958,Bias (statistics),Null hypothesis
1959,Homogeneity (statistics),Null hypothesis
1960,Statistical inference,Null hypothesis
1961,Statistical model,Null hypothesis
1962,Probability distribution,Null hypothesis
1963,Statistical population,Null hypothesis
1964,The Design of Experiments,Null hypothesis
1965,Hypothesis,Null hypothesis
1966,Alternative hypothesis,Null hypothesis
1967,Estimation statistics,Null hypothesis
1968,Testing hypotheses suggested by the data,Null hypothesis
1969,Likelihood-ratio test,Null hypothesis
1970,Statistical hypothesis testing,Null hypothesis
1971,One-tailed test,Null hypothesis
1972,Test statistic,Null hypothesis
1973,Counternull,Null hypothesis
1974,Null hypothesis,
1975,LOBPCG,Spectral clustering
1976,Segmentation-based object categorization,Spectral clustering
1977,Hierarchical clustering,Spectral clustering
1978,Dimensionality reduction,Spectral clustering
1979,Sparse matrix,Spectral clustering
1980,Preconditioner,Spectral clustering
1981,Nearest neighbor search,Spectral clustering
1982,Similarity matrix,Spectral clustering
1983,DBSCAN,Spectral clustering
1984,Multivariate statistics,Spectral clustering
1985,Affinity propagation,Spectral clustering
1986,Power iteration,Spectral clustering
1987,Cluster analysis,Spectral clustering
1988,Nonlinear dimensionality reduction,Spectral clustering
1989,Kernel principal component analysis,Spectral clustering
1990,Fiedler vector,Spectral clustering
1991,Spectral graph theory,Spectral clustering
1992,Spectrum of a matrix,Spectral clustering
1993,K-means clustering,Spectral clustering
1994,Laplacian matrix,Spectral clustering
1995,Spectral clustering,
1996,Farkas's lemma,Hyperplane separation theorem
1997,Theorem,Hyperplane separation theorem
1998,Convex geometry,Hyperplane separation theorem
1999,Dual cone,Hyperplane separation theorem
2000,Cauchy sequence,Hyperplane separation theorem
2001,Disjoint sets,Hyperplane separation theorem
2002,Compact set,Hyperplane separation theorem
2003,Affine subspace,Hyperplane separation theorem
2004,Projection (set theory),Hyperplane separation theorem
2005,Supporting hyperplane theorem,Hyperplane separation theorem
2006,Convex set,Hyperplane separation theorem
2007,Kirchberger's theorem,Hyperplane separation theorem
2008,Hahn–Banach theorem,Hyperplane separation theorem
2009,Geometry,Hyperplane separation theorem
2010,Minkowski sum,Hyperplane separation theorem
2011,Topological vector spaces,Hyperplane separation theorem
2012,Collision detection,Hyperplane separation theorem
2013,Convex hull,Hyperplane separation theorem
2014,Support-vector machine,Hyperplane separation theorem
2015,Hyperplane,Hyperplane separation theorem
2016,Hyperplane separation theorem,
2017,ELKI,K-medoids
2018,KNIME,K-medoids
2019,K-means clustering,K-medoids
2020,Greedy algorithm,K-medoids
2021,R (programming language),K-medoids
2022,RapidMiner,K-medoids
2023,Julia language,K-medoids
2024,Euclidean distance,K-medoids
2025,Peter Rousseeuw,K-medoids
2026,Rust (programming language),K-medoids
2027,Python (programming language),K-medoids
2028,Silhouette (clustering),K-medoids
2029,MATLAB,K-medoids
2030,Lloyd's algorithm,K-medoids
2031,Medoids,K-medoids
2032,Cluster analysis,K-medoids
2033,Hierarchical clustering,K-medoids
2034,K-medoids,
